,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
0,17.0,8.6,8.4,282.0,2.7,1300.0,3000.0
1,18.0,8.8,7.8,310.0,2.3,940.0,2400.0
2,22.0,10.2,7.8,262.0,2.3,8000.0,2800.0
3,22.0,9.0,7.5,320.0,2.4,900.0,5000.0
4,15.0,9.2,7.5,217.0,1.3,1300.0,3000.0
5,16.0,10.1,7.0,239.0,1.5,2600.0,6300.0
6,17.0,10.2,7.0,250.0,1.4,450.0,2300.0
7,13.0,11.1,7.7,209.0,1.2,2200.0,3900.0
8,,,,,,,
9,9.0,8.6,7.8,284.0,2.5,2400.0,9000.0
10,16.0,9.2,7.6,271.0,2.4,3000.0,9000.0
11,16.0,8.8,7.6,256.0,2.6,2800.0,9000.0
12,16.0,8.6,7.4,236.0,2.2,900.0,3000.0
13,15.0,9.2,7.3,206.0,2.4,1700.0,3400.0
14,,,,,,,
15,21.0,8.5,7.6,260.0,2.4,1100.0,2400.0
16,17.0,7.8,7.7,242.0,2.3,1100.0,2200.0
17,16.0,8.5,7.6,237.0,2.1,1100.0,2400.0
18,16.0,9.7,7.6,254.0,2.2,900.0,1700.0
19,18.0,9.0,7.4,187.0,2.0,1800.0,3600.0
20,20.0,10.1,6.6,218.0,1.7,3800.0,7000.0
21,21.0,9.6,7.6,234.0,1.5,1100.0,14000.0
22,15.0,9.7,7.4,222.0,1.3,2200.0,11000.0
23,,,,,,,
24,17.0,8.5,7.8,265.0,2.4,800.0,2400.0
25,16.0,7.9,7.8,238.0,2.2,900.0,2200.0
26,16.0,8.5,7.9,193.0,2.0,800.0,1700.0
27,14.5,9.6,7.8,209.0,2.2,800.0,1700.0
28,18.0,9.2,7.3,187.0,1.8,1700.0,3100.0
29,16.0,8.5,6.9,220.0,2.0,3800.0,7000.0
30,13.0,8.5,7.6,244.0,1.9,930.0,11000.0
31,16.0,9.8,6.9,234.0,1.4,1700.0,3300.0
32,,,,,,,
33,20.0,11.0,7.4,230.0,4.5,1.0,400.0
34,16.0,11.0,7.5,193.0,1.0,2000.0,3000.0
35,19.0,9.8,7.5,213.0,0.4,8000.0,13000.0
36,19.0,9.1,7.6,204.0,1.0,70000.0,90000.0
37,19.0,9.9,7.5,201.0,1.2,34000.0,110000.0
38,16.5,10.9,7.3,174.0,0.7,30000.0,50000.0
39,17.0,11.2,7.4,198.0,0.8,7000.0,14000.0
40,17.0,11.8,7.87,222.0,1.0,800.0,1300.0
41,,,,,,,
42,18.0,9.8,6.9,219.0,2.3,1.0,26000.0
43,19.0,9.3,7.5,189.0,1.2,13000.0,23000.0
44,20.0,8.5,7.8,175.0,1.8,17000.0,30000.0
45,22.0,9.4,7.1,201.0,1.5,90000.0,110000.0
46,21.0,8.7,7.4,208.0,0.8,80000.0,110000.0
47,20.0,10.4,7.3,202.0,1.3,30000.0,50000.0
48,21.0,9.4,7.4,206.0,1.1,11000.0,30000.0
49,19.0,11.5,7.86,202.0,1.85,7000.0,14000.0
50,,,,,,,
51,20.0,8.5,7.7,230.0,1.8,1.0,165000.0
52,18.0,8.2,7.8,195.0,1.2,65000.0,115000.0
53,20.0,9.2,7.5,212.0,1.2,65000.0,115000.0
54,22.0,8.6,7.6,198.0,1.5,17000.0,26000.0
55,22.0,7.8,7.5,275.0,1.2,13000.0,30000.0
56,18.0,7.8,5.8,247.0,1.9,13000.0,22000.0
57,18.0,7.9,7.3,252.0,1.2,23000.0,70000.0
58,20.0,7.6,6.77,177.0,1.1,30000.0,70000.0
59,,,,,,,
60,15.0,8.8,7.2,249.0,0.6,4000.0,11000.0
61,19.0,8.7,7.6,257.0,0.6,4000.0,11000.0
62,19.0,8.6,7.4,225.0,1.2,4000.0,13000.0
63,20.0,7.1,7.3,217.0,1.0,4000.0,11000.0
64,24.0,7.4,6.9,253.0,1.4,8000.0,11000.0
65,19.0,8.1,6.1,302.0,1.3,8000.0,13000.0
66,21.0,7.5,7.2,301.0,1.4,2100.0,11000.0
67,16.0,8.2,6.78,231.0,1.05,8000.0,13000.0
