,Temperature©[min],D.O. (mg/L)[max],pH[min],Conductivity(μSiemens/cm)[min],BOD (mg/L)[min],Total coliform[min]
0,17.0,8.6,8.4,542.0,2.7,9000.0
1,30.0,7.8,8.3,492.0,2.8,4600.0
2,33.0,6.0,8.2,750.0,2.9,5000.0
3,34.0,7.0,8.6,562.0,2.4,16000.0
4,34.0,7.3,8.2,622.0,2.3,29000.0
5,35.0,6.8,9.0,512.0,2.8,10000.0
6,33.0,5.2,8.4,530.0,2.0,160000.0
7,,,,,,
8,32.0,7.2,8.1,490.0,2.9,24000.0
9,34.0,7.1,8.2,557.0,2.9,24000.0
10,40.0,7.4,9.1,559.0,3.0,24000.0
11,30.0,6.5,8.3,756.0,2.8,9000.0
12,33.0,6.5,8.8,644.0,2.9,350000.0
13,32.0,68.0,8.8,449.0,2.6,32000.0
14,34.0,6.3,8.8,629.0,2.7,54000.0
15,36.0,5.4,8.4,500.0,2.9,160000.0
16,,,,,,
17,30.0,5.8,8.0,336.0,2.7,5000.0
18,28.0,7.4,8.0,316.0,2.6,9000.0
19,28.0,7.6,8.0,378.0,2.3,8000.0
20,29.0,6.9,7.9,519.0,2.8,8000.0
21,32.0,6.0,8.0,405.0,2.8,92000.0
22,3.0,6.2,8.2,384.0,2.7,35000.0
23,32.0,5.8,8.5,436.0,2.5,160000.0
24,30.0,5.1,8.3,370.0,3.3,160000.0
25,,,,,,
26,28.0,6.0,8.0,362.0,2.8,5000.0
27,26.0,7.5,8.2,314.0,2.7,24000.0
28,28.0,7.6,8.1,380.0,2.5,9000.0
29,26.0,7.1,8.1,544.0,2.8,5000.0
30,32.0,6.6,7.9,972.0,2.8,92000.0
31,32.0,6.0,8.2,538.0,2.8,29000.0
32,32.0,6.1,8.6,505.0,2.5,160000.0
33,40.0,6.1,84.0,396.0,2.3,160000.0
34,,,,,,
35,32.0,6.0,7.8,358.0,6.9,16000.0
36,32.0,4.4,8.1,385.0,8.7,1600000.0
37,32.0,3.8,8.3,422.0,7.2,280000.0
38,31.0,5.0,8.3,376.0,1.8,280000.0
39,32.0,5.5,8.2,380.0,7.3,850000.0
40,32.0,5.6,8.6,362.0,5.8,350000.0
41,37.0,4.9,8.5,380.0,48.0,500000.0
42,32.0,5.3,8.85,410.0,4.95,300000.0
43,,,,,,
44,32.0,5.4,7.9,359.0,5.1,900000.0
45,32.0,4.5,8.1,413.0,8.5,900000.0
