,Temperature © [Min],D.O. (mg/L)[max],pH [Min],Conductivity (μSiemens/cm) [Min],BOD (mg/L) [Min],Total coliform [Min]
0,17.0,8.6,8.4,542.0,2.7,9000.0
1,30.0,7.8,8.3,492.0,2.8,4600.0
2,33.0,6.0,8.2,750.0,2.9,5000.0
3,34.0,7.0,8.6,562.0,2.4,16000000.0
4,34.0,7.3,8.2,622.0,2.3,29000.0
5,35.0,6.8,9.0,512.0,2.8,160000.0
6,33.0,5.2,8.6,550.0,2.0,160000.0
7,,,,,,
8,32.0,7.2,8.1,490.0,2.9,24000.0
9,34.0,7.1,8.2,557.0,2.9,24000.0
10,40.0,7.4,9.1,559.0,3.0,24000.0
11,30.0,6.5,8.3,550.0,3.0,24000.0
12,33.0,6.5,8.8,644.0,2.9,3500000.0
13,,,,,,
14,30.0,5.8,8.0,336.0,2.7,5000.0
15,28.0,7.4,8.0,316.0,2.6,9000.0
16,28.0,7.5,8.0,375.0,2.7,16000.0
17,29.0,6.9,7.9,519.0,2.8,8000.0
18,31.0,6.4,7.9,398.0,2.8,110000.0
19,33.0,6.2,8.2,384.0,2.7,35000.0
20,32.0,5.8,8.5,436.0,2.5,160000.0
21,30.0,5.1,8.3,394.0,2.9,160000.0
22,,,,,,
23,28.0,5.9,8.0,383.0,2.8,9000.0
24,26.0,7.5,8.1,314.0,2.7,24000.0
25,27.0,7.5,8.0,394.0,2.7,16000.0
26,28.0,6.9,8.1,573.0,2.8,5000.0
27,32.0,6.6,7.9,972.0,2.7,79000.0
28,33.0,6.8,8.2,480.0,2.4,32000.0
29,32.0,6.1,8.3,505.0,2.5,92000.0
30,40.0,6.1,8.4,396.0,2.3,160000.0
31,,,,,,
32,32.0,6.0,7.8,358.0,6.9,160000.0
33,32.0,4.4,8.1,385.0,8.7,1600000.0
34,32.0,3.8,8.3,422.0,7.2,280000.0
35,31.0,5.0,8.3,376.0,5.3,280000.0
36,32.0,5.7,8.2,380.0,7.3,850000.0
37,32.0,5.6,8.6,362.0,5.8,350000.0
38,37.0,4.9,8.5,380.0,4.8,500000.0
39,32.0,5.3,8.85,410.0,4.95,300000.0
40,,,,,,
41,52.0,5.4,7.9,359.0,5.1,900000.0
42,32.0,4.5,8.1,413.0,8.5,900000.0
43,34.0,4.1,8.5,365.0,6.6,220000.0
44,33.0,4.7,8.3,388.0,5.5,280000.0
45,32.0,4.1,8.4,363.0,5.2,280000.0
